id,last_name,first_name,sex,race,address,birthdate,bank_routing,bank_account
1,Neal,Dylan,Male,White,"360 Ferrell Drives Apt. 753, West Nichole, NV 33537",1961-06-26,070140000,RNJD04917880501010
2,Briggs,Adam,Male,White,"59412 Fitzpatrick Mount Apt. 047, Pattersonborough, OH 37935",1968-10-19,010949355,BYPC34175779728644
3,Johnson,Erin,Female,White,"211 Weber Mall, Leeberg, NC 24456",1974-01-14,037276564,FKVJ24039677933954
4,Wilson,Michael,Male,Asian,"589 Daniel Rue Apt. 398, East Walterchester, NY 95247",1958-07-16,016828292,AXCE79986998204739
5,Newman,Shane,Male,White,"743 Miller Heights Suite 779, North Thomaschester, WY 19450",1969-02-18,023328646,VUAL43529433243100
6,Evans,Benjamin,Male,White,"426 Amy Knolls, Port Nicoleport, WV 89477",1976-12-18,038056071,WOGU86125987860628
7,Shepherd,John,Male,White,"17071 Jacqueline Mill Suite 274, Harrisonchester, ID 12877",1956-01-08,077554835,CMXU40837433483377
8,Figueroa,Elizabeth,Female,White,"5768 Christopher Mission, New Michaelburgh, OH 69320",1982-12-27,128430581,LHDV39804373577294
9,Gonzales,Amanda,Female,Black or African American,"056 Karen Row, South Melissa, KY 82187",1964-06-15,053595915,FRPS27438622212113
10,Adkins,Steve,Male,White,"018 Samantha Cliffs Apt. 116, Wheelerview, OK 41123",1986-01-05,062173234,RHHR82251021435803
